state_region,constituency,voters_elig,votes_cast,votes_adv,votes_total,votes_invalid,votes_lost,invalid_total,valid_total,turnout,party,party_votes,party_percent
Kachin State,Myitkyina,178579,109561,12338,121899,14690,1568,16258,105641,68.26%,Lisu National Development Party (L.N.D.P),4236,4.01%
Kachin State,Myitkyina,178579,109561,12338,121899,14690,1568,16258,105641,68.26%,Shan Nationalities Democratic Party (SNDP),2041,1.93%
Kachin State,Myitkyina,178579,109561,12338,121899,14690,1568,16258,105641,68.26%,Union Solidarity and Development Party (USDP),26800,25.37%
Kachin State,Myitkyina,178579,109561,12338,121899,14690,1568,16258,105641,68.26%,The Kachin National Congress for Democracy,1937,1.83%
Kachin State,Myitkyina,178579,109561,12338,121899,14690,1568,16258,105641,68.26%,National Unity Party (NUP),2605,2.47%
Kachin State,Myitkyina,178579,109561,12338,121899,14690,1568,16258,105641,68.26%,Kachin State Democracy Party,6910,6.54%
Kachin State,Myitkyina,178579,109561,12338,121899,14690,1568,16258,105641,68.26%,National Democratic Force (NDF),2788,2.64%
Kachin State,Myitkyina,178579,109561,12338,121899,14690,1568,16258,105641,68.26%,Lhaovo National Unity and Development Party (LNUDP),1210,1.15%
Kachin State,Myitkyina,178579,109561,12338,121899,14690,1568,16258,105641,68.26%,Kachin Democratic Party,3860,3.65%
Kachin State,Myitkyina,178579,109561,12338,121899,14690,1568,16258,105641,68.26%,Tai-Leng Nationalities Development Party (T.N.D.P),3653,3.46%
Kachin State,Myitkyina,178579,109561,12338,121899,14690,1568,16258,105641,68.26%,The Union of Myanmar Federation of National Politic,640,0.61%
Kachin State,Myitkyina,178579,109561,12338,121899,14690,1568,16258,105641,68.26%,National League for Democracy (NLD),48961,46.35%
Kachin State,Waingmaw,64069,39882,2632,42514,3593,0,3593,38921,66.36%,Union Solidarity and Development Party (USDP),8485,21.80%
Kachin State,Waingmaw,64069,39882,2632,42514,3593,0,3593,38921,66.36%,National Unity Party (NUP),3974,10.21%
Kachin State,Waingmaw,64069,39882,2632,42514,3593,0,3593,38921,66.36%,National Democratic Force (NDF),615,1.58%
Kachin State,Waingmaw,64069,39882,2632,42514,3593,0,3593,38921,66.36%,Tai-Leng Nationalities Development Party (T.N.D.P),1141,2.67%
Kachin State,Waingmaw,64069,39882,2632,42514,3593,0,3593,38921,66.36%,Kachin State Democracy Party,2421,6.22%
Kachin State,Waingmaw,64069,39882,2632,42514,3593,0,3593,38921,66.36%,Kachin Democratic Party,1431,3.68%
Kachin State,Waingmaw,64069,39882,2632,42514,3593,0,3593,38921,66.36%,Shan Nationalities League for Democracy (SNLD),2880,7.40%
Kachin State,Waingmaw,64069,39882,2632,42514,3593,0,3593,38921,66.36%,Lhaovo National Unity and Development Party (LNUDP),1917,4.93%
Kachin State,Waingmaw,64069,39882,2632,42514,3593,0,3593,38921,66.36%,National League for Democracy (NLD),11978,30.78%
Kachin State,Waingmaw,64069,39882,2632,42514,3593,0,3593,38921,66.36%,The Kachin National Congress for Democracy,2186,5.62%
Kachin State,Waingmaw,64069,39882,2632,42514,3593,0,3593,38921,66.36%,Shan Nationalities Democratic Party (SNDP),1993,5.12%
Kachin State,Tanai,27312,12641,2624,15265,1022,9,1031,14234,55.89%,The Kachin National Congress for Democracy,443,3.11%
Kachin State,Tanai,27312,12641,2624,15265,1022,9,1031,14234,55.89%,Union Solidarity and Development Party (USDP),4887,34.33%
Kachin State,Tanai,27312,12641,2624,15265,1022,9,1031,14234,55.89%,Lisu National Development Party (L.N.D.P),1791,12.58%
Kachin State,Tanai,27312,12641,2624,15265,1022,9,1031,14234,55.89%,Kachin Democratic Party,303,2.13%
Kachin State,Tanai,27312,12641,2624,15265,1022,9,1031,14234,55.89%,Kachin State Democracy Party,1002,7.04%
Kachin State,Tanai,27312,12641,2624,15265,1022,9,1031,14234,55.89%,National Democratic Force (NDF),302,2.12%
Kachin State,Tanai,27312,12641,2624,15265,1022,9,1031,14234,55.89%,National League for Democracy (NLD),5076,35.66%
Kachin State,Tanai,27312,12641,2624,15265,1022,9,1031,14234,55.89%,National Unity Party (NUP),430,3.02%
Kachin State,Chipwi,11149,7420,1258,8678,987,7,994,7684,77.84%,National Unity Party (NUP),376,4.89%
Kachin State,Chipwi,11149,7420,1258,8678,987,7,994,7684,77.84%,National Democratic Force (NDF),147,1.91%
Kachin State,Chipwi,11149,7420,1258,8678,987,7,994,7684,77.84%,Union Solidarity and Development Party (USDP),4446,57.86%
Kachin State,Chipwi,11149,7420,1258,8678,987,7,994,7684,77.84%,Kachin Democratic Party,262,3.41%
Kachin State,Chipwi,11149,7420,1258,8678,987,7,994,7684,77.84%,Lhaovo National Unity and Development Party (LNUDP),250,3.25%
Kachin State,Chipwi,11149,7420,1258,8678,987,7,994,7684,77.84%,National League for Democracy (NLD),776,10.10%
Kachin State,Chipwi,11149,7420,1258,8678,987,7,994,7684,77.84%,Lisu National Development Party (L.N.D.P),1125,14.64%
Kachin State,Chipwi,11149,7420,1258,8678,987,7,994,7684,77.84%,Kachin State Democracy Party,158,2.06%
Kachin State,Chipwi,11149,7420,1258,8678,987,7,994,7684,77.84%,The Kachin National Congress for Democracy,144,1.87%
Kachin State,Tsawlaw,3841,2318,588,2906,242,0,242,2664,75.66%,National Democratic Force (NDF),22,0.83%
Kachin State,Tsawlaw,3841,2318,588,2906,242,0,242,2664,75.66%,National League for Democracy (NLD),640,24.02%
Kachin State,Tsawlaw,3841,2318,588,2906,242,0,242,2664,75.66%,Union Solidarity and Development Party (USDP),830,31.16%
Kachin State,Tsawlaw,3841,2318,588,2906,242,0,242,2664,75.66%,Lhaovo National Unity and Development Party (LNUDP),275,10.32%
Kachin State,Tsawlaw,3841,2318,588,2906,242,0,242,2664,75.66%,Lisu National Development Party (L.N.D.P),897,33.67%
Kachin State,Injangyang,1408,934,104,1038,121,1,122,916,73.72%,National Democratic Force (NDF),27,2.95%
Kachin State,Injangyang,1408,934,104,1038,121,1,122,916,73.72%,National League for Democracy (NLD),128,13.97%
Kachin State,Injangyang,1408,934,104,1038,121,1,122,916,73.72%,Unity and Democracy Party of Kachin State (UDPKS),239,26.09%
Kachin State,Injangyang,1408,934,104,1038,121,1,122,916,73.72%,Kachin State Democracy Party,439,47.93%
Kachin State,Injangyang,1408,934,104,1038,121,1,122,916,73.72%,National Unity Party (NUP),19,2.07%
Kachin State,Injangyang,1408,934,104,1038,121,1,122,916,73.72%,The Kachin National Congress for Democracy,64,6.99%
Kachin State,Mohnyin,142306,82521,10893,93414,4574,126,4700,88714,65.64%,Union Solidarity and Development Party (USDP),22516,25.38%
Kachin State,Mohnyin,142306,82521,10893,93414,4574,126,4700,88714,65.64%,Shan Nationalities Democratic Party (SNDP),3136,3.53%
Kachin State,Mohnyin,142306,82521,10893,93414,4574,126,4700,88714,65.64%,National League for Democracy (NLD),50410,56.82%
Kachin State,Mohnyin,142306,82521,10893,93414,4574,126,4700,88714,65.64%,National Democratic Force (NDF),2054,2.32%
Kachin State,Mohnyin,142306,82521,10893,93414,4574,126,4700,88714,65.64%,Tai-Leng Nationalities Development Party (T.N.D.P),10598,11.95%
Kachin State,Mogaung,87290,48871,5977,54848,2872,39,2911,51937,62.83%,Kachin State Democracy Party,4016,7.73%
Kachin State,Mogaung,87290,48871,5977,54848,2872,39,2911,51937,62.83%,Tai-Leng Nationalities Development Party (T.N.D.P),3102,5.97%
Kachin State,Mogaung,87290,48871,5977,54848,2872,39,2911,51937,62.83%,Union Solidarity and Development Party (USDP),16223,31.24%
Kachin State,Mogaung,87290,48871,5977,54848,2872,39,2911,51937,62.83%,National Democratic Force (NDF),1570,3.02%
Kachin State,Mogaung,87290,48871,5977,54848,2872,39,2911,51937,62.83%,National League for Democracy (NLD),24048,46.30%
Kachin State,Mogaung,87290,48871,5977,54848,2872,39,2911,51937,62.83%,Shan Nationalities Democratic Party (SNDP),2978,5.73%
Kachin State,Hpakant,89488,53505,2830,56335,3443,110,3553,52782,62.95%,Union Solidarity and Development Party (USDP),7669,14.53%
Kachin State,Hpakant,89488,53505,2830,56335,3443,110,3553,52782,62.95%,Tai-Leng Nationalities Development Party (T.N.D.P),3102,5.88%
Kachin State,Hpakant,89488,53505,2830,56335,3443,110,3553,52782,62.95%,National Democratic Force (NDF),2548,4.83%
Kachin State,Hpakant,89488,53505,2830,56335,3443,110,3553,52782,62.95%,National League for Democracy (NLD),30350,57.50%
Kachin State,Hpakant,89488,53505,2830,56335,3443,110,3553,52782,62.95%,Kachin State Democracy Party,5206,9.86%
Kachin State,Hpakant,89488,53505,2830,56335,3443,110,3553,52782,62.95%,The Kachin National Congress for Democracy,3907,7.40%
Kachin State,Bhamo,84229,59484,2976,62460,4539,33,4572,57888,74.15%,Shan Nationalities Democratic Party (SNDP),4206,7.27%
Kachin State,Bhamo,84229,59484,2976,62460,4539,33,4572,57888,74.15%,Union Solidarity and Development Party (USDP),15522,26.81%
Kachin State,Bhamo,84229,59484,2976,62460,4539,33,4572,57888,74.15%,Tai-Leng Nationalities Development Party (T.N.D.P),2215,3.83%
Kachin State,Bhamo,84229,59484,2976,62460,4539,33,4572,57888,74.15%,Kachin State Democracy Party,1545,2.67%
Kachin State,Bhamo,84229,59484,2976,62460,4539,33,4572,57888,74.15%,The Kachin National Congress for Democracy,731,1.26%
Kachin State,Bhamo,84229,59484,2976,62460,4539,33,4572,57888,74.15%,National Unity Party (NUP),2691,4.65%
Kachin State,Bhamo,84229,59484,2976,62460,4539,33,4572,57888,74.15%,National Democratic Force (NDF),671,1.16%
Kachin State,Bhamo,84229,59484,2976,62460,4539,33,4572,57888,74.15%,National Development Party,1265,2.19%
Kachin State,Bhamo,84229,59484,2976,62460,4539,33,4572,57888,74.15%,National League for Democracy (NLD),29042,50.17%
Kachin State,Momauk,42403,26312,2166,28478,2147,28,2175,26303,67.16%,Kachin State Democracy Party,1950,7.41%
Kachin State,Momauk,42403,26312,2166,28478,2147,28,2175,26303,67.16%,Tai-Leng Nationalities Development Party (T.N.D.P),1023,3.89%
Kachin State,Momauk,42403,26312,2166,28478,2147,28,2175,26303,67.16%,Shan Nationalities League for Democracy (SNLD),3882,14.76%
Kachin State,Momauk,42403,26312,2166,28478,2147,28,2175,26303,67.16%,Shan Nationalities Democratic Party (SNDP),3281,12.47%
Kachin State,Momauk,42403,26312,2166,28478,2147,28,2175,26303,67.16%,The Kachin National Congress for Democracy,1906,7.25%
Kachin State,Momauk,42403,26312,2166,28478,2147,28,2175,26303,67.16%,Union Solidarity and Development Party (USDP),4879,18.55%
Kachin State,Momauk,42403,26312,2166,28478,2147,28,2175,26303,67.16%,National League for Democracy (NLD),8631,32.81%
Kachin State,Momauk,42403,26312,2166,28478,2147,28,2175,26303,67.16%,National Unity Party (NUP),751,2.86%
Kachin State,Mansi,32340,23798,1016,24814,2649,11,2660,22154,76.73%,National League for Democracy (NLD),6697,30.23%
Kachin State,Mansi,32340,23798,1016,24814,2649,11,2660,22154,76.73%,Shan Nationalities Democratic Party (SNDP),2388,10.78%
Kachin State,Mansi,32340,23798,1016,24814,2649,11,2660,22154,76.73%,Shan Nationalities League for Democracy (SNLD),4332,19.55%
Kachin State,Mansi,32340,23798,1016,24814,2649,11,2660,22154,76.73%,Kachin Democratic Party,236,1.07%
Kachin State,Mansi,32340,23798,1016,24814,2649,11,2660,22154,76.73%,National Unity Party (NUP),601,2.71%
Kachin State,Mansi,32340,23798,1016,24814,2649,11,2660,22154,76.73%,Union Solidarity and Development Party (USDP),5350,24.15%
Kachin State,Mansi,32340,23798,1016,24814,2649,11,2660,22154,76.73%,Kachin State Democracy Party,1434,6.47%
Kachin State,Mansi,32340,23798,1016,24814,2649,11,2660,22154,76.73%,Tai-Leng Nationalities Development Party (T.N.D.P),1116,5.04%
