state_region,constituency,voters_elig,votes_total,valid_total,turnout,88 Generation Democracy,Akha National Development Party,All Mon Regions Democracy Party,All Nationals' Democracy (A.N.D) Party Kayah State,Arakan National Party,Arakan Patriot Party,Asho Chin National Party,Chin League for Democracy,Chin National Democratic Party,Chin Progressive Party,Confederate Farmers Party (CFP),Danu National Democracy Party,Danu National Organisation Party,Dawei Nationality Party,Democracy and Peace Party,Democracy Party for Myanmar New Society,Democratic Party (Myanmar),Democratic Party for A New Society,Eastern Shan State Development Democratic Party,Federal Union Party (FUP),Guiding Star Party,Individual,Individual 2,Individual 3,Individual 4,Inn National Development Party,Inn National League Party,Ka Man National Development Party,Kachin Democratic Party,Kachin State Democracy Party,Karen National Party,Kayah Unity Democracy Party (K.U.D.P),Kayan National Party,Kayin Democratic Party,Kayin People Party,Khami National Development Party,Khumi (Khami) National Party,Kokang Democracy and Unity Party,La Hu National Development Party,Lhaovo National Unity and Development Party (LNUDP),Lisu National Development Party (L.N.D.P),Modern People Party,Mon National Party,Mro National Democracy Party (M.N.D.P),Mro National Development Party (MNDP),Myanmar Farmer Development Party,Myanmar National Congress Party,National Democratic Force (NDF),National Democratic Party for Development (NDPD),National Development Party,National League for Democracy (NLD),National Prosperity Party,National Unity Congress Party,National Unity Party (NUP),"Negotiation, Stability and Peace Party (N.S.P.P)",New Era Union Party,New National Democracy Party,New Society Party,Pao National Organisation (PNO),Peace for Diversity Party,People's Party of Myanmar Farmers and Workers,People Democracy Party,Phlone-Sqaw Democratic Party,Public Contribute Students Democracy Party,Rakhine State National United Party,Shan-Ni & Northern Shan Ethnics Solidarity Party (S.N.S.P),Shan Nationalities Democratic Party (SNDP),Shan Nationalities League for Democracy (SNLD),Shan State Kokang Democratic Party,Ta-Arng Palaung National Party,Tai-Leng Nationalities Development Party (T.N.D.P),The 88 Generation Students Youth (Union of Myanmar),The Kachin National Congress for Democracy,The Union of Myanmar Federation of National Politic,Union Democratic Party,Union Farmer Force Party,Union Pao National Organisation,Union Solidarity and Development Party (USDP),United Democratic Party (UDP),Unity and Democracy Party of Kachin State (UDPKS),Wa Democratic Party,Wa National Unity Party,Women Party (Mon),Zo National Region Development Party,Zomi Congress for Democracy
Kachin State,Myitkyina,178579,121899,105641,68.26%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3860,6910,0,0,0,0,0,0,0,0,0,1210,4236,0,0,0,0,0,0,2788,0,0,48961,0,0,2605,0,0,0,0,0,0,0,0,0,0,0,0,2041,0,0,0,3653,0,1937,640,0,0,0,26800,0,0,0,0,0,0,0
Kachin State,Waingmaw,64069,42514,38921,66.36%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431,2421,0,0,0,0,0,0,0,0,0,1917,0,0,0,0,0,0,0,615,0,0,11978,0,0,3974,0,0,0,0,0,0,0,0,0,0,0,0,1993,2880,0,0,1141,0,2186,0,0,0,0,8485,0,0,0,0,0,0,0
Kachin State,Tanai,27312,15265,14234,55.89%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,1002,0,0,0,0,0,0,0,0,0,0,1791,0,0,0,0,0,0,302,0,0,5076,0,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,0,0,0,4887,0,0,0,0,0,0,0
Kachin State,Chipwi,11149,8678,7684,77.84%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,158,0,0,0,0,0,0,0,0,0,250,1125,0,0,0,0,0,0,147,0,0,776,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,4446,0,0,0,0,0,0,0
Kachin State,Tsawlaw,3841,2906,2664,75.66%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,897,0,0,0,0,0,0,22,0,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830,0,0,0,0,0,0,0
Kachin State,Injangyang,1408,1038,916,73.72%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,128,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,239,0,0,0,0,0
Kachin State,Mohnyin,142306,93414,88714,65.64%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2054,0,0,50410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3136,0,0,0,10598,0,0,0,0,0,0,22516,0,0,0,0,0,0,0
Kachin State,Mogaung,87290,54848,51937,62.83%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1570,0,0,24048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2978,0,0,0,3102,0,0,0,0,0,0,16223,0,0,0,0,0,0,0
Kachin State,Hpakant,89488,56335,52782,62.95%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2548,0,0,30350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3102,0,3907,0,0,0,0,7669,0,0,0,0,0,0,0
Kachin State,Bhamo,84229,62460,57888,74.15%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,0,1265,29042,0,0,2691,0,0,0,0,0,0,0,0,0,0,0,0,4206,0,0,0,2215,0,731,0,0,0,0,15522,0,0,0,0,0,0,0
Kachin State,Momauk,42403,28478,26303,67.16%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8631,0,0,751,0,0,0,0,0,0,0,0,0,0,0,0,3281,3882,0,0,1023,0,1906,0,0,0,0,4879,0,0,0,0,0,0,0
Kachin State,Mansi,32340,24814,22154,76.73%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,1434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6697,0,0,601,0,0,0,0,0,0,0,0,0,0,0,0,2388,4332,0,0,1116,0,0,0,0,0,0,5350,0,0,0,0,0,0,0
Kachin State,Shwegu,54065,42319,39509,78.27%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911,0,0,0,0,0,0,0,1812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736,0,0,22054,0,0,1641,0,0,0,0,0,0,0,0,0,0,0,0,811,0,0,0,0,0,0,0,0,0,0,11238,306,0,0,0,0,0,0
Kachin State,Puta-O,39936,28999,24936,72.61%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4468,0,0,0,0,0,0,0,0,0,0,0,3125,0,0,0,0,0,0,421,0,0,11529,0,0,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4065,0,0,0,0,0,0,0
Kachin State,Machanbaw,5568,4807,4108,86.33%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,1262,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435,0,0,0,0,0,0,0
